Timestamp,Pod_Count,Free_Memory_MB,Total_Memory_MB,CPU_Usage_Percent
2025-06-20 21:31:14,33,27266,128812,1.7
2025-06-20 21:43:44,32,26452,128812,1.7
2025-06-20 21:44:44,30,26503,128812,1.7
2025-06-20 21:45:44,30,26503,128812,2.8
2025-06-20 21:46:44,30,26478,128812,1.1
2025-06-20 21:47:45,30,26476,128812,1.1
2025-06-20 21:48:45,30,26468,128812,1.1
2025-06-20 21:49:45,30,26475,128812,1.1
2025-06-20 21:50:46,30,26491,128812,1.1
2025-06-20 21:51:46,30,26457,128812,1.1
2025-06-20 21:52:46,30,26471,128812,1.1
2025-06-20 21:53:47,30,26475,128812,6.4
2025-06-20 21:54:47,30,26480,128812,1.1
2025-06-20 21:55:47,30,26483,128812,1.7
2025-06-20 21:56:48,30,26449,128812,1.7
2025-06-20 21:57:48,30,26466,128812,1.7
2025-06-20 22:31:54,30,26358,128812,1.7
2025-06-20 22:32:54,30,26329,128812,2.3
2025-06-20 22:33:54,30,26310,128812,2.3
2025-06-20 22:34:54,30,26313,128812,4.6
2025-06-20 22:35:55,30,26279,128812,1.1
2025-06-20 22:36:55,30,26273,128812,2.3
2025-06-20 22:37:55,30,26284,128812,2.9
2025-06-20 22:38:56,30,26290,128812,6.9
2025-06-20 22:39:56,30,26311,128812,1.1
2025-06-20 22:40:56,30,26301,128812,2.3
2025-06-20 22:41:57,30,26280,128812,2.2
2025-06-20 22:42:57,30,26245,128812,5.2
2025-06-20 22:43:57,30,26244,128812,2.8
2025-06-20 22:44:58,30,26192,128812,10.4
2025-06-20 22:45:58,33,20787,128812,5.6
2025-06-20 22:46:58,35,17117,128812,29.9
2025-06-20 22:47:59,38,12241,128812,2.2
2025-06-20 22:48:59,43,4957,128812,75.8
2025-06-20 22:49:59,48,1159,128812,35.1
2025-06-20 22:51:00,52,1384,128812,20.6
2025-06-20 22:52:00,53,1038,128812,16.8
